state,bill_id,title,status,summary,category,url,all_urls
New York,A 10652,Operator of Visual or Audio Generative AI Systems,Pending,"Requires the owner, licensee or operator of a visual or audio generative AI system to take steps to prohibit its users from creating unauthorized realistic depictions of public officials.",Elections; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10652&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A10652&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Wisconsin,A 1068,Use of Artificial Intelligence by State Agencies,Failed,Concerns use of AI by state agencies and staff reduction goals.,Effect on Labor/Employment; Government Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:WI2023000A1068&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:WI2023000A1068&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 107,Budget Act of 2024,Enacted,"Makes appropriations for the support of state government for the specified fiscal year. Declares the bill as a budget bill. Provides funds to the Government Operations Agency to coordinate with legislative staff and other state agencies on ongoing efforts to implement Executive Order N-12-23, related to AI use in state government.",Government Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A107&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A107&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 108,Budget Act of 2024,Pending,"Amends the Budget Act of 2024 by amending, adding, and repealing items of appropriation and making other changes. Provides funds to the Government Operations Agency to coordinate with legislative staff and other state agencies on ongoing efforts to implement Executive Order N-12-23, related to AI use in state government.",Government Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A108&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A108&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
Wisconsin,A 1158,Disclaimer Required When Interacting With AI,Failed,Concerns disclaimer required when interacting with generative AI that simulates conversation.,Notification; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:WI2023000A1158&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:WI2023000A1158&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 1502,Health Care Coverage: Discrimination,Failed,"Prohibits a health care service plan or health insurer from discriminating based on race, color, national origin, sex, age or disability using clinical algorithms in its decision making.",Health Use; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1502&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1502&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New Jersey,A 1781,Artificial Intelligence Economic Growth Study,Pending,Requires the commissioner of labor and workforce development to conduct a study and issue a report on the impact of AI on the growth of the state economy.,Effect on Labor/Employment,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A1781&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A1781&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 1791,Digital Content Provenance,Pending,"Requires a social media platform to redact personal provenance data from content uploaded to the social media platform by a user and prohibits a social media platform from redacting system provenance data from content uploaded to the social media platform by a user. Makes a social media platform that violates those provisions liable in a civil action brought by a user of a social media platform for certain relief, including actual damages or statutory damages of a specified amount per violation.",Provenance,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1791&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1791&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 1831,Crimes: Child Pornography,To governor,"Provides that existing law prohibits the production, development, duplication, distribution, or possession of matter, in certain formats, that depicts a person under 18 years old engaging in or simulating sexual conduct. Expands the scope of certain provisions to include matter that is digitally altered or generated using AI. Provides that this bill will become operative only if SB 1381 of the 2023-24 Regular Session is enacted and takes effect on or before the specified date.",Child Pornography; Criminal Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1831&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1831&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 1873,Crimes: Sexual Exploitation of a Child,Pending,"Makes a person guilty of a misdemeanor or a felony if the person knowingly develops, duplicates, prints, or exchanges any representation of information, data, or image, generated using AI, that depicts a person under the age of 18 years engaged in an act of sexual conduct.",Child Pornography; Criminal Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1873&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A1873&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2013,Artificial Intelligence: Training Data Transparency,To governor,"Requires, before each time that a generative AI system or service, or a substantial modification to a generative AI system or service, released on or after the specified date, is made available to Californians for use, regardless of whether the terms of that use include compensation, a developer of the system or service to post on the developer's website documentation regarding the data used to train the generative AI system or service.",Private Sector Use; Provenance,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2013&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2013&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2355,Political Reform Act of 1974: Political Advertisements,To governor,"Requires a committee that creates, originally publishes, or originally distributes a qualified political advertisement to include in the advertisement a specified disclosure that the advertisement was generated or substantially altered using AI. Prescribes formatting requirements for this disclosure depending on the medium of the qualified political advertisement.",Elections,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2355&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2355&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2512,Telecommunications: Automatic Dialing-Announcing Device,Pending,Provides that existing law authorizes the Public Utilities Commission to control and regulate the connection of an automatic dialing-announcing device to a telephone line. Provides that existing law imposes various requirements on the use of an automatic dialing-announcing device. Expands the definition of automatic dialing-announcing device to include calls made using an artificial voice.,Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2512&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2512&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2602,Contracts Against Public Policy,To governor,"Provides that a provision in an agreement between an individual and another person for the performance of personal or professional services is unenforceable as it relates to a new performance by a digital replica of the individual if the provision meets specified conditions relating to the use of a digital replica of the voice or likeness of an individual in lieu of the work of the individual. Defines digital replica to mean a computer-generated, highly realistic electronic representation.",Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2602&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2602&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2652,State Department of Education: Artificial Intelligence,Pending,"Requires the superintendent of public instruction, in consultation with the state Board of Education, to, on or before Jan. 1, 2025, convene a working group for the purpose of exploring how AI and other forms of similarly advanced technology are currently being used in education, identifying how they may be used in the future, and developing best practices to ensure that those technologies advance, rather than harm, educational quality.",Education Use; Government Use; Studies,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2652&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2652&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2811,Attorneys: Court Filings: Artificial Intelligence,Pending,"Requires an attorney to execute and maintain, for a specified period, an affidavit certifying whether generative AI, was used in the drafting of each document that the attorney files, or intends to file, in a state or federal court within the state. Requires an attorney to, upon request or demand by a state or federal court within the state, file the affidavit with the court, provided that the retention period has not yet expired.",Judicial Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2811&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2811&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2885,Artificial Intelligence,To governor,"Provides that existing law requires each local agency to provide information to the public before approving an economic development subsidy, including information about any net job loss or replacement due to the use of automation, AI, or other technologies. Defines AI as an engineered or machine-based system that varies in its level of autonomy and that can infer from the input it receives how to generate outputs that can influence physical or virtual environments.",Effect on Labor/Employment,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2885&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2885&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2905,Telecommunications: Automatic Dialing-Announcing Device,To governor,"Provides that existing law imposes various requirements on the use of an automatic dialing-announcing device, including that whenever telephone calls are placed using an automatic dialing-announcing device, the device may be operated only after an unrecorded, natural voice announcement has been made to the person called. Requires the announcement to inform the person if the prerecorded message uses an artificial voice.",Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2905&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2905&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 2930,Automated Decision Tools,Pending,Requires a deployer and a developer of an automated decision system to perform an impact assessment on any such system before the system is first deployed and annually thereafter. Requires a deployer or a developer to provide any impact assessment that it performed to the Civil Rights Department. Exempts an assessment provided to the department from the California Public Records Act. Prohibits a deployer from using such system if an assessment identifies a reasonable risk of algorithmic discrimination.,Government Use; Impact Assessment; Notification; Responsible Use; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2930&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A2930&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 3030,Health Care Services: Artificial Intelligence,To governor,"Requires a health facility, clinic, physician's office, or office of a group practice that uses generative AI to generate written or verbal patient communications pertaining to patient clinical information to ensure that those communications include both a specified disclaimer and instructions. Exempts from this requirement a communication read and reviewed by a human licensed or certified health care provider.",Health Use; Notification,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3030&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3030&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 3050,Artificial Intelligence,Pending,"Requires the Department of Technology to issue regulations to establish standards for watermarks to be included in covered AI-generated material. Requires the department's standard to, at a minimum, require an AI-generating entity to include digital content provenance in the watermarks.",Provenance,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3050&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3050&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 3058,California Unconditional Benefit Program,Pending,"Establishes, until a specified date, the California Unconditional Benefit Income Pilot Program, to be administered by the Employment Development Department for the purpose of aiding individuals who are unemployed because of automation or AI. Authorizes an eligible individual to apply to the department to receive a specified dollar amount each month for a period of 12 months upon certain determinations.",Effect on Labor/Employment,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3058&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3058&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 3095,Artificial Intelligence,Pending,Declares the intent of the Legislature to enact legislation relating to AI.,,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3095&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3095&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 3204,Data Digesters Registration Act,Pending,"Requires data digesters to register with the California Privacy Protection Agency, pay a registration fee, and provide specified information. Prescribes penalties for a failure to register as required by these provisions. Requires the agency to create a page on its internet website where this registration information is accessible to the public and creates the Data Digester Registry Fund. Defines various terms and incorporates specified definitions provided in the California Privacy Rights Act.",Private Sector Use; Provenance,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3204&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A3204&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 3308,Digital Fairness Act,Pending,Enacts the Digital Fairness Act; requires any entity that conducts business in New York and maintains the personal information of 500 or more individuals to provide meaningful notice about their use of personal information; establishes unlawful discriminatory practices relating to targeted advertising.,Audit; Government Use; Impact Assessment; Responsible Use;  Studies,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A3308&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A3308&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
California,A 331,Automated Decision Tools,Failed,"Relates to the State Fair Employment and Housing Act. Requires a deployer and a developer of an automated decision tool to perform an impact assessment for any such tool the deployer uses that includes a statement of the purpose of the tool and its intended benefits, uses and deployment contexts. Requires a public attorney to, before commencing an action for injunctive relief, provide written notice to a deployer or developer of the alleged violations and provide a specified opportunity to cure violations.",Impact Assessment; Notification; Private Sector Use; Responsible Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A331&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2023000A331&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New York,A 3593,State Privacy Act,Pending,"Enacts the State Privacy Act to require companies to disclose their methods of de-identifying personal information, to place special safeguards around data sharing and to allow consumers to obtain the names of all entities with whom their information is shared.",Audit; Government Use; Notification; Private Sector Use;,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A3593&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NY2023000A3593&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New Jersey,A 3854,Hiring Decisions Automated Employment Decision Tools,Pending,Regulates use of automated employment decision tools in hiring decisions.,Audit; Notification; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3854&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3854&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New Jersey,A 3855,Automated Employment Decision Tools Auditing,Pending,Creates standards for independent bias auditing of automated employment decision tools.,Audit; Private Sector Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3855&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3855&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New Jersey,A 3858,Health Insurers Data Collection,Pending,Requires collection of data by health insurers regarding health insurance claims and decisions made using automated utilization management systems.,Health Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3858&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3858&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New Jersey,A 3911,Hiring Process Artificial Intelligence Uses,Pending,Regulates use of AI enabled video interview in hiring process.,Notification; Private Sector Use;,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3911&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3911&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
New Jersey,A 3912,Identity Theft,Pending,Extends crime of identity theft to include fraudulent impersonation or false depiction by means of AI or deepfake technology.,Criminal Use,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3912&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A3912&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0
